part,company,country,city,price,date,currency_name,price_amount,currency_symbol,exchange_rate_to_USD,standardized_USD
49349-842,Ntags,Portugal,Lisbon,269.46€,2016-01-04 05:19:44,EUR,269.46,€,1.0898,293.657508
54123-957,Buzzbean,Germany,Düsseldorf,161.02€,2016-01-04 07:01:09,EUR,161.02,€,1.0898,175.47959600000002
58118-5060,Flipstorm,Greece,Athens,387.3€,2016-01-04 07:23:21,EUR,387.3,€,1.0898,422.07954000000007
51523-002,Flipstorm,Greece,Athens,1184.21€,2016-01-04 07:32:15,EUR,1184.21,€,1.0898,1290.5520580000002
51079-947,Thoughtmix,Portugal,Amadora,600.24€,2016-01-04 08:46:27,EUR,600.24,€,1.0898,654.141552
58118-5060,Buzzbean,Germany,Düsseldorf,195.09€,2016-01-04 12:07:11,EUR,195.09,€,1.0898,212.60908200000003
16590-177,Twitterbeat,France,Annecy,1075.56€,2016-01-04 12:16:34,EUR,1075.56,€,1.0898,1172.145288
49288-0655,Flipstorm,Greece,Athens,169.33€,2016-01-04 14:13:33,EUR,169.33,€,1.0898,184.53583400000002
67046-030,Flipstorm,Greece,Athens,162.2€,2016-01-04 14:48:27,EUR,162.2,€,1.0898,176.76556
24286-1562,Kanoodle,Japan,Niihama,¥32441.68,2016-01-04 14:48:42,CNY,32441.68,¥,0.1530446017,4965.023994078856
16477-306,Twitterbeat,France,Annecy,996.3€,2016-01-04 15:05:37,EUR,996.3,€,1.0898,1085.76774
0615-7679,Chatterbridge,Spain,Barcelona,385.43€,2016-01-04 15:08:34,EUR,385.43,€,1.0898,420.04161400000004
49348-574,Flipstorm,Greece,Athens,295.47€,2016-01-04 15:54:50,EUR,295.47,€,1.0898,322.00320600000003
52380-1102,Flipstorm,France,Nanterre,716.43€,2016-01-04 16:19:30,EUR,716.43,€,1.0898,780.765414
98132-889,Brainsphere,Portugal,Braga,236.03€,2016-01-04 16:42:33,EUR,236.03,€,1.0898,257.225494
51346-126,Flipstorm,Greece,Athens,111.55€,2016-01-04 18:09:44,EUR,111.55,€,1.0898,121.56719000000001
51138-049,Flipstorm,Greece,Athens,528.49€,2016-01-04 19:33:25,EUR,528.49,€,1.0898,575.9484020000001
58118-5060,Twitterbeat,France,Annecy,145.64€,2016-01-04 20:34:13,EUR,145.64,€,1.0898,158.718472
21695-267,Ntags,Portugal,Lisbon,361.54€,2016-01-04 21:36:57,EUR,361.54,€,1.0898,394.0062920000001
51531-9500,Chatterbridge,Spain,Barcelona,995.1€,2016-01-04 22:48:41,EUR,995.1,€,1.0898,1084.45998
50563-113,Gabcube,Portugal,Almada,671.22€,2016-01-04 22:55:51,EUR,671.22,€,1.0898,731.4955560000001
49288-0655,Gabcube,Portugal,Almada,316.01€,2016-01-05 00:45:50,EUR,316.01,€,1.0746,339.584346
68084-172,Ntags,Portugal,Lisbon,564.39€,2016-01-05 02:14:55,EUR,564.39,€,1.0746,606.4934939999999
68180-121,Ntags,Portugal,Lisbon,1028.04€,2016-01-05 02:33:00,EUR,1028.04,€,1.0746,1104.731784
13537-468,Zooxo,United Kingdom,London,£449.23,2016-01-05 03:29:13,GBP,449.23,£,1.4673311941,659.169192325543
16714-295,Shufflebeat,Portugal,Porto,895.28€,2016-01-05 04:45:51,EUR,895.28,€,1.0746,962.0678879999999
37205-992,Buzzbean,Germany,Düsseldorf,481.74€,2016-01-05 05:24:36,EUR,481.74,€,1.0746,517.677804
61398-0828,Flipstorm,Greece,Athens,279.76€,2016-01-05 06:45:46,EUR,279.76,€,1.0746,300.630096
37205-951,Flipstorm,France,Nanterre,303.47€,2016-01-05 07:40:58,EUR,303.47,€,1.0746,326.10886200000004
10267-2529,Roodel,Portugal,Aranhas,460.71€,2016-01-05 09:32:18,EUR,460.71,€,1.0746,495.078966
62742-4030,Zoonder,United States,Boston,$612.31,2016-01-05 11:24:32,USD,612.31,$,1.0,612.31
24385-268,Flipstorm,Greece,Athens,223.75€,2016-01-05 11:35:55,EUR,223.75,€,1.0746,240.44175
54868-5165,Flipstorm,France,Nanterre,-217.88€,2016-01-05 12:21:25,EUR,-217.88,€,1.0746,-234.133848
49348-574,Ntags,Portugal,Lisbon,368.4€,2016-01-05 15:43:41,EUR,368.4,€,1.0746,395.88264
76335-006,Chatterbridge,Spain,Barcelona,395.91€,2016-01-05 16:01:18,EUR,395.91,€,1.0746,425.44488600000005
51346-145,Flipstorm,Greece,Athens,977.69€,2016-01-05 16:33:49,EUR,977.69,€,1.0746,1050.6256740000001
36987-1697,Chatterbridge,Spain,Barcelona,822.97€,2016-01-05 17:11:29,EUR,822.97,€,1.0746,884.363562
68233-011,Voomm,France,Paris,549.77€,2016-01-05 19:17:42,EUR,549.77,€,1.0746,590.782842
65044-3014,Thoughtmix,Portugal,Amadora,924.25€,2016-01-05 19:28:34,EUR,924.25,€,1.0746,993.1990499999999
10267-2529,Brainsphere,Portugal,Braga,528.52€,2016-01-05 19:35:12,EUR,528.52,€,1.0746,567.947592
50563-113,Twitterbeat,France,Annecy,516.92€,2016-01-05 20:00:10,EUR,516.92,€,1.0746,555.482232
50563-113,Flipstorm,France,Nanterre,648.25€,2016-01-05 22:10:24,EUR,648.25,€,1.0746,696.60945
68084-172,Twitterbeat,France,Annecy,629.02€,2016-01-05 23:17:05,EUR,629.02,€,1.0746,675.944892
17156-617,Zooxo,United Kingdom,London,£1100.73,2016-01-06 00:55:19,GBP,1100.73,£,1.4626906318,1610.027459141214
49288-0285,Avaveo,France,Nice,687.63€,2016-01-06 01:04:10,EUR,687.63,€,1.0742,738.652146
35356-325,Buzzbean,Germany,Düsseldorf,411.16€,2016-01-06 02:31:00,EUR,411.16,€,1.0742,441.66807200000005
49349-820,Chatterbridge,Spain,Barcelona,522.49€,2016-01-06 02:37:26,EUR,522.49,€,1.0742,561.2587580000001
36987-1697,Ntags,Portugal,Lisbon,977.41€,2016-01-06 03:12:04,EUR,977.41,€,1.0742,1049.933822
41163-428,Ntags,Portugal,Lisbon,152.56€,2016-01-06 03:53:24,EUR,152.56,€,1.0742,163.879952
68084-595,Voomm,France,Paris,169.07€,2016-01-06 04:00:59,EUR,169.07,€,1.0742,181.614994
50563-113,Riffpath,Greece,Heraklion,489.98€,2016-01-06 04:05:10,EUR,489.98,€,1.0742,526.3365160000001
0228-2167,Brainsphere,Portugal,Braga,946.63€,2016-01-06 04:41:37,EUR,946.63,€,1.0742,1016.869946
0228-2167,Zooxo,United Kingdom,London,£932.22,2016-01-06 05:59:08,GBP,932.22,£,1.4626906318,1363.5494607765959
10237-832,Flipstorm,Greece,Athens,1067.82€,2016-01-06 06:55:33,EUR,1067.82,€,1.0742,1147.052244
0268-6107,Gabcube,Portugal,Almada,479.94€,2016-01-06 07:03:07,EUR,479.94,€,1.0742,515.551548
68084-172,Wordify,United States,New York,$452.85,2016-01-06 07:11:02,USD,452.85,$,1.0,452.85
49349-820,Flipstorm,Greece,Athens,390.52€,2016-01-06 07:26:37,EUR,390.52,€,1.0742,419.496584
49349-471,Flipstorm,France,Nanterre,1036.79€,2016-01-06 08:11:41,EUR,1036.79,€,1.0742,1113.719818
62756-707,Shufflebeat,Portugal,Porto,313.73€,2016-01-06 08:28:22,EUR,313.73,€,1.0742,337.00876600000004
51138-049,Flipstorm,France,Nanterre,852.71€,2016-01-06 08:42:14,EUR,852.71,€,1.0742,915.9810820000001
24286-1562,Flipstorm,Greece,Athens,387.76€,2016-01-06 09:07:51,EUR,387.76,€,1.0742,416.531792
49035-530,Buzzbean,Germany,Düsseldorf,844.48€,2016-01-06 09:16:16,EUR,844.48,€,1.0742,907.1404160000001
58668-4281,Ntags,Portugal,Lisbon,915.44€,2016-01-06 09:54:27,EUR,915.44,€,1.0742,983.3656480000001
68462-565,Thoughtmix,Portugal,Amadora,1046.53€,2016-01-06 10:45:18,EUR,1046.53,€,1.0742,1124.182526
43419-018,Flipstorm,Greece,Athens,251.79€,2016-01-06 11:49:16,EUR,251.79,€,1.0742,270.472818
10578-049,Twitterbeat,France,Annecy,675.32€,2016-01-06 12:04:39,EUR,675.32,€,1.0742,725.428744
17156-617,Wordify,United States,New York,$1135.89,2016-01-06 12:36:31,USD,1135.89,$,1.0,1135.89
49967-724,Flipstorm,Greece,Athens,539.33€,2016-01-06 15:15:02,EUR,539.33,€,1.0742,579.348286
55700-014,Thoughtmix,Portugal,Amadora,589.44€,2016-01-06 15:39:25,EUR,589.44,€,1.0742,633.176448
36800-952,Wordify,United States,New York,$220.03,2016-01-06 16:18:55,USD,220.03,$,1.0,220.03
13537-259,Buzzbean,Germany,Düsseldorf,978.12€,2016-01-06 16:45:25,EUR,978.12,€,1.0742,1050.696504
0603-6134,Flipstorm,France,Nanterre,812.99€,2016-01-06 17:36:36,EUR,812.99,€,1.0742,873.3138580000001
52343-025,Flipstorm,France,Nanterre,685.99€,2016-01-06 17:55:34,EUR,685.99,€,1.0742,736.8904580000001
51346-145,Roodel,Portugal,Aranhas,1028.69€,2016-01-06 18:57:33,EUR,1028.69,€,1.0742,1105.018798
68180-121,Thoughtmix,Portugal,Amadora,1062.97€,2016-01-06 19:24:37,EUR,1062.97,€,1.0742,1141.842374
98132-889,Flipstorm,France,Nanterre,303.01€,2016-01-06 19:54:02,EUR,303.01,€,1.0742,325.493342
0268-1604,Teklist,Netherlands,Arnhem,138.48€,2016-01-06 20:11:13,EUR,138.48,€,1.0742,148.755216
49349-106,Eimbee,France,Amiens,789.66€,2016-01-06 21:02:40,EUR,789.66,€,1.0742,848.252772
13537-259,Voomm,France,Paris,690.9€,2016-01-06 21:52:11,EUR,690.9,€,1.0742,742.16478
51346-126,Wordify,United States,New York,$106.79,2016-01-06 21:54:55,USD,106.79,$,1.0,106.79
61398-0828,Flipstorm,Greece,Athens,455.39€,2016-01-06 22:52:04,EUR,455.39,€,1.0742,489.179938
24286-1562,Flipstorm,Greece,Athens,379.92€,2016-01-06 22:57:09,EUR,379.92,€,1.0742,408.110064
10578-049,Thoughtmix,Portugal,Amadora,370.82€,2016-01-06 23:42:01,EUR,370.82,€,1.0742,398.33484400000003
36800-952,Yozio,Greece,Patras,386.76€,2016-01-07 01:49:15,EUR,386.76,€,1.0868,420.330768
0699-7041,Flipstorm,Greece,Athens,696.46€,2016-01-07 05:50:47,EUR,696.46,€,1.0868,756.912728
0268-1604,Flipstorm,Greece,Athens,150.58€,2016-01-07 06:32:31,EUR,150.58,€,1.0868,163.65034400000002
63629-2733,Brainsphere,Portugal,Braga,255.41€,2016-01-07 08:29:28,EUR,255.41,€,1.0868,277.579588
55289-164,Thoughtmix,Portugal,Amadora,-95.08€,2016-01-07 08:45:08,EUR,-95.08,€,1.0868,-103.332944
62011-0219,Brainsphere,Portugal,Braga,925.83€,2016-01-07 08:55:32,EUR,925.83,€,1.0868,1006.192044
60505-2867,Ntags,Portugal,Lisbon,230.49€,2016-01-07 12:52:30,EUR,230.49,€,1.0868,250.496532
24286-1562,Thoughtmix,Portugal,Amadora,265.42€,2016-01-07 14:46:01,EUR,265.42,€,1.0868,288.458456
51346-145,Flipstorm,Greece,Athens,945.54€,2016-01-07 14:46:34,EUR,945.54,€,1.0868,1027.612872
44946-1046,Flipstorm,Greece,Athens,426.31€,2016-01-07 16:33:00,EUR,426.31,€,1.0868,463.313708
68752-024,Flipstorm,Greece,Athens,914.21€,2016-01-07 17:10:10,EUR,914.21,€,1.0868,993.563428
49348-574,Ntags,Portugal,Lisbon,299.84€,2016-01-07 17:49:00,EUR,299.84,€,1.0868,325.866112
41163-428,Twitterbeat,France,Annecy,117.13€,2016-01-07 18:45:15,EUR,117.13,€,1.0868,127.29688399999999
62011-0219,Flipstorm,Greece,Athens,863.13€,2016-01-07 19:26:14,EUR,863.13,€,1.0868,938.049684
62011-0219,Yozio,Greece,Patras,914.44€,2016-01-07 19:47:59,EUR,914.44,€,1.0868,993.813392
55154-5057,Shufflebeat,Portugal,Porto,543.4€,2016-01-07 19:50:44,EUR,543.4,€,1.0868,590.5671199999999
10578-049,Flipstorm,France,Nanterre,688.77€,2016-01-07 20:43:23,EUR,688.77,€,1.0868,748.5552359999999
49999-737,Flipstorm,Greece,Athens,841.34€,2016-01-07 22:07:31,EUR,841.34,€,1.0868,914.3683120000001
49349-471,Yozio,Greece,Patras,827.58€,2016-01-08 03:22:32,EUR,827.58,€,1.0861,898.8346380000002
0699-7041,Riffpath,Greece,Heraklion,954.29€,2016-01-08 06:21:54,EUR,954.29,€,1.0861,1036.454369
68462-565,Wordify,United States,New York,$809.68,2016-01-08 06:24:52,USD,809.68,$,1.0,809.68
51138-049,Thoughtmix,Portugal,Amadora,373.07€,2016-01-08 06:36:35,EUR,373.07,€,1.0861,405.191327
61398-0828,Innojam,Netherlands,Amsterdam,311.23€,2016-01-08 08:22:03,EUR,311.23,€,1.0861,338.02690300000006
62670-4404,Twitterbeat,France,Annecy,467.69€,2016-01-08 08:39:06,EUR,467.69,€,1.0861,507.95810900000004
49349-314,Voomm,France,Paris,503.06€,2016-01-08 09:17:14,EUR,503.06,€,1.0861,546.373466
58118-5060,Voomm,France,Paris,116.7€,2016-01-08 09:40:58,EUR,116.7,€,1.0861,126.74787
55856-0003,Zooxo,United Kingdom,London,£433.11,2016-01-08 12:21:39,GBP,433.11,£,1.4574806425,631.249441073175
24385-268,Brainsphere,Portugal,Braga,200.13€,2016-01-08 14:06:06,EUR,200.13,€,1.0861,217.36119300000001
44946-1046,Wordify,United States,New York,$466.99,2016-01-08 15:39:35,USD,466.99,$,1.0,466.99
21695-267,Yozio,Greece,Patras,459.66€,2016-01-08 15:51:29,EUR,459.66,€,1.0861,499.23672600000003
0268-1128,Flipstorm,France,Nanterre,608.86€,2016-01-08 17:09:06,EUR,608.86,€,1.0861,661.2828460000001
44946-1046,Thoughtmix,Portugal,Amadora,414.05€,2016-01-08 17:57:42,EUR,414.05,€,1.0861,449.69970500000005
54868-6311,Ntags,Portugal,Lisbon,433.33€,2016-01-08 21:37:42,EUR,433.33,€,1.0861,470.63971300000003
52959-433,Brainsphere,Portugal,Braga,328.54€,2016-01-08 22:16:38,EUR,328.54,€,1.0861,356.82729400000005
10267-2529,Roodel,Portugal,Aranhas,458.13€,2016-01-08 23:29:20,EUR,458.13,€,1.0861,497.574993
0615-7679,Flipstorm,Greece,Athens,289.36€,2016-01-09 01:23:57,EUR,289.36,€,1.0861,314.27389600000004
51138-049,Thoughtmix,Portugal,Amadora,1176.1€,2016-01-09 01:36:57,EUR,1176.1,€,1.0861,1277.36221
61398-0828,Yozio,Greece,Patras,265.77€,2016-01-09 02:59:10,EUR,265.77,€,1.0861,288.652797
65044-3014,Chatterbridge,Spain,Barcelona,706.25€,2016-01-09 03:19:58,EUR,706.25,€,1.0861,767.058125
49348-574,Twitterbeat,France,Annecy,290.66€,2016-01-09 03:22:45,EUR,290.66,€,1.0861,315.685826
0268-6107,Chatterbridge,Spain,Barcelona,487.23€,2016-01-09 03:25:39,EUR,487.23,€,1.0861,529.180503
52380-1102,Flipstorm,Greece,Athens,739.67€,2016-01-09 04:36:12,EUR,739.67,€,1.0861,803.355587
49348-574,Roodel,Portugal,Aranhas,298.88€,2016-01-09 04:56:00,EUR,298.88,€,1.0861,324.613568
13537-259,Brainsphere,Portugal,Braga,892.36€,2016-01-09 05:51:27,EUR,892.36,€,1.0861,969.1921960000001
0268-1604,Flipstorm,Greece,Athens,127.55€,2016-01-09 05:57:23,EUR,127.55,€,1.0861,138.532055
51346-145,Thoughtmix,Portugal,Amadora,1002.34€,2016-01-09 06:00:25,EUR,1002.34,€,1.0861,1088.641474
0228-2167,Yozio,Greece,Patras,1519.48€,2016-01-09 07:00:30,EUR,1519.48,€,1.0861,1650.3072280000001
58118-5060,Flipstorm,Greece,Athens,233.92€,2016-01-09 07:26:12,EUR,233.92,€,1.0861,254.060512
49349-314,Zooxo,United Kingdom,London,£460.72,2016-01-09 07:40:09,GBP,460.72,£,1.4574806425,671.4904816126
55154-5057,Flipstorm,Greece,Athens,775.36€,2016-01-09 09:30:18,EUR,775.36,€,1.0861,842.118496
54973-9150,Zoonder,United States,Boston,$899.15,2016-01-09 10:08:15,USD,899.15,$,1.0,899.15
55154-5057,Chatterbridge,Spain,Barcelona,665.23€,2016-01-09 13:29:46,EUR,665.23,€,1.0861,722.5063030000001
51079-947,Chatterbridge,Spain,Barcelona,763.51€,2016-01-09 14:55:27,EUR,763.51,€,1.0861,829.2482110000001
36987-1697,Flipstorm,Greece,Athens,502.47€,2016-01-09 17:12:20,EUR,502.47,€,1.0861,545.7326670000001
49349-471,Shufflebeat,Portugal,Porto,716.2€,2016-01-09 18:05:19,EUR,716.2,€,1.0861,777.8648200000001
16590-177,Brainsphere,Portugal,Braga,221.24€,2016-01-09 18:45:25,EUR,221.24,€,1.0861,240.28876400000001
13537-259,Teklist,Netherlands,Arnhem,732.79€,2016-01-09 21:05:12,EUR,732.79,€,1.0861,795.883219
16590-177,Gabcube,Portugal,Almada,1681.96€,2016-01-09 21:11:34,EUR,1681.96,€,1.0861,1826.7767560000002
51138-049,Wordify,United States,New York,$989.63,2016-01-09 22:27:00,USD,989.63,$,1.0,989.63
55700-014,Ntags,Portugal,Lisbon,678.09€,2016-01-09 22:36:39,EUR,678.09,€,1.0861,736.473549
52125-444,Flipstorm,Greece,Athens,269.88€,2016-01-09 22:48:02,EUR,269.88,€,1.0861,293.116668
76314-002,Flipstorm,France,Nanterre,457.59€,2016-01-10 02:34:49,EUR,457.59,€,1.0861,496.988499
36987-1697,Buzzbean,Germany,Düsseldorf,1159.46€,2016-01-10 03:18:22,EUR,1159.46,€,1.0861,1259.289506
36987-1697,Zooxo,United Kingdom,London,£762.34,2016-01-10 04:02:46,GBP,762.34,£,1.4574806425,1111.0957930034501
44946-1046,Chatterbridge,Spain,Barcelona,421.38€,2016-01-10 04:05:01,EUR,421.38,€,1.0861,457.660818
24286-1562,Buzzbean,Germany,Düsseldorf,333.67€,2016-01-10 04:07:03,EUR,333.67,€,1.0861,362.39898700000003
67046-030,Shufflebeat,Portugal,Porto,170.42€,2016-01-10 06:14:59,EUR,170.42,€,1.0861,185.093162
49967-724,Flipstorm,Greece,Athens,549.22€,2016-01-10 06:55:23,EUR,549.22,€,1.0861,596.5078420000001
62011-0219,Flipstorm,Greece,Athens,785.47€,2016-01-10 08:25:26,EUR,785.47,€,1.0861,853.0989670000001
49738-105,Eimbee,France,Amiens,528.5€,2016-01-10 08:54:43,EUR,528.5,€,1.0861,574.00385
76335-006,Ntags,Portugal,Lisbon,322.23€,2016-01-10 09:34:08,EUR,322.23,€,1.0861,349.97400300000004
10578-049,Roodel,Portugal,Aranhas,1053.2€,2016-01-10 10:44:58,EUR,1053.2,€,1.0861,1143.8805200000002
37205-992,Zooxo,United Kingdom,London,£154.52,2016-01-10 15:09:00,GBP,154.52,£,1.4574806425,225.2099088791
16477-306,Shufflebeat,Portugal,Porto,988.78€,2016-01-10 15:33:47,EUR,988.78,€,1.0861,1073.913958
50563-113,Flipstorm,Greece,Athens,831.99€,2016-01-10 17:03:57,EUR,831.99,€,1.0861,903.6243390000001
54092-515,Gabcube,Portugal,Almada,772.98€,2016-01-10 19:02:40,EUR,772.98,€,1.0861,839.533578
55700-014,Twitterbeat,France,Annecy,647.59€,2016-01-10 19:09:23,EUR,647.59,€,1.0861,703.3474990000001
58596-001,Thoughtmix,Portugal,Amadora,472.26€,2016-01-10 19:22:30,EUR,472.26,€,1.0861,512.921586
42254-213,Thoughtmix,Portugal,Amadora,203.13€,2016-01-10 19:53:29,EUR,203.13,€,1.0861,220.619493
16714-295,Twitterbeat,France,Annecy,647.37€,2016-01-10 20:40:34,EUR,647.37,€,1.0861,703.108557
54473-578,Thoughtmix,Portugal,Amadora,187.87€,2016-01-10 22:04:24,EUR,187.87,€,1.0861,204.04560700000002
68180-121,Flipstorm,France,Nanterre,1403.31€,2016-01-10 22:40:46,EUR,1403.31,€,1.0861,1524.1349910000001
36800-952,Brainsphere,Portugal,Braga,323.01€,2016-01-10 23:18:51,EUR,323.01,€,1.0861,350.821161
55289-164,Voomm,France,Paris,408.08€,2016-01-11 00:16:57,EUR,408.08,€,1.0888,444.317504
54473-578,Chatterbridge,Spain,Barcelona,233.75€,2016-01-11 00:46:23,EUR,233.75,€,1.0888,254.507
62011-0219,Thoughtmix,Portugal,Amadora,879.81€,2016-01-11 03:54:55,EUR,879.81,€,1.0888,957.9371279999999
35356-325,Yozio,Greece,Patras,682.84€,2016-01-11 08:02:54,EUR,682.84,€,1.0888,743.4761920000001
68752-024,Voomm,France,Paris,724.32€,2016-01-11 08:31:18,EUR,724.32,€,1.0888,788.639616
43419-018,Flipstorm,Greece,Athens,299.1€,2016-01-11 08:31:34,EUR,299.1,€,1.0888,325.66008
24286-1562,Ntags,Portugal,Lisbon,184.01€,2016-01-11 10:33:25,EUR,184.01,€,1.0888,200.350088
37205-992,Flipstorm,Greece,Athens,659.42€,2016-01-11 10:37:02,EUR,659.42,€,1.0888,717.976496
65044-3014,Flipstorm,Greece,Athens,854.65€,2016-01-11 11:28:13,EUR,854.65,€,1.0888,930.54292
16477-306,Teklist,Netherlands,Arnhem,1140.08€,2016-01-11 11:56:24,EUR,1140.08,€,1.0888,1241.319104
52125-136,Ntags,Portugal,Lisbon,489.06€,2016-01-11 12:54:18,EUR,489.06,€,1.0888,532.488528
35356-325,Brainsphere,Portugal,Braga,834.24€,2016-01-11 14:25:59,EUR,834.24,€,1.0888,908.320512
49035-530,Buzzbean,Germany,Düsseldorf,799.44€,2016-01-11 15:37:13,EUR,799.44,€,1.0888,870.4302720000001
50563-113,Buzzbean,Germany,Düsseldorf,450.61€,2016-01-11 16:32:14,EUR,450.61,€,1.0888,490.624168
0268-1128,Thoughtmix,Portugal,Amadora,1129.01€,2016-01-11 16:47:05,EUR,1129.01,€,1.0888,1229.266088
13537-468,Flipstorm,Greece,Athens,325.28€,2016-01-11 18:38:04,EUR,325.28,€,1.0888,354.16486399999997
